"Первомайск
(укр. Первомайськ)";"Ольвиополь
Богополь
Голта";"Николаевская область";"70 170";1919
"Первомайский
(укр. Первомайський)";"Лихачёво (до 1952)";"Харьковская область";"32 523";1869
"Перевальск
(укр. Перевальськ)";"";"Луганская область";"29 665";1902
"Перемышляны
(укр. Перемишляни)";"";"Львовская область";"7 565";1347
"Перечин
(укр. Перечин)";"";"Закарпатская область";"7 083";1399
"Перещепино
(укр. Перещепине)";"";"Днепропетровская область";"10 041";1764
"Переяслав
(укр. Переяслав)";"Переяславль
Переяслав-Хмельницкий (с 1943 по 2019)";"Киевская область";"31 634";907
"Першотравенск
(укр. Першотравенськ)";"Шахтёрский (до 1960)";"Днепропетровская область";"29 140";1954
"Петрово-Красноселье
(укр. Петрово-Красносілля)";"Петровское (с 1959 до 2016)";"Луганская область";"15 478";1895
"Пивденное
(укр. Південне)";"Южный";"Харьковская область";"8 516";1906
"Пирятин
(укр. Пирятин)";"";"Полтавская область";"16 664";1155
"Погребище
(укр. Погребище)";"";"Винницкая область";"10 754";1148
"Подгайцы
(укр. Підгайці)";"";"Тернопольская область";"3 280";1397
"Подгородное
(укр. Підгородне)";"";"Днепропетровская область";"17 763";"1600-е"
"Подольск
(укр. Подільськ)";"Бирзула (до 1935)
Котовск (до 2016)";"Одесская область";"40 718";1779
"Покров
(укр. Покров)";"Орджоникидзе (до 2016)";"Днепропетровская область";"44 834";1934
"Покровск
(укр. Покровськ)";"Гришино (до 1934)
Постышево (до 1938)
Красноармейское (до 1965)
Красноармейск (до 2016)";"Донецкая область";"69 154";1875
"Пологи
(укр. Пологи)";"Чубаревка (с 1928 до 1937)";"Запорожская область";"22 206";1887
"Полонное
(укр. Полонне)";"";"Хмельницкая область";"23 211";996
